"key","en","fr","ge","sp","ch","jp"
,,,,,,
"UNIVERSAL KEYS","通用键值",,,,,
,,,,,,
"Rarity_Common","普通","xxxx",,,,
"Rarity_Rare","稀有","xxxx",,,,
"Rarity_Epic","史诗","xxxx",,,,
"Rarity_Legendary","传说","xxxx",,,,
,,,,,,
"ItemType_Recipe","食谱","xxxx",,,,
"ItemType_Ingredient","食材","xxxx",,,,
"ItemType_Consumable","消耗品","xxxx",,,,
"ItemType_ConsumableIngredient","烹饪食材","xxxx",,,,
"ItemType_Equipment","服装","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
"ITEM TYPES","物品键值",,,,,
,,,,,,
"Item_Ingredient","食材","xxxx",,,,
"Item_Equipment","服装","xxxx",,,,
"Item_Consumable","消耗品","xxxx",,,,
"Item_Material","原料","xxxx",,,,
"Item_Tool","工具","xxxx",,,,
"Item_Gift","礼物","xxxx",,,,
"Item_Quest","任务道具","xxxx",,,,
"Item_BrewingProduct","酿造制品","xxxx",,,,
"Item_Seed","种子","xxxx",,,,
"Item_PaperRecipe","食谱","xxxx",,,,
"Item_Dish","菜肴","xxxx",,,,
"Item_Takeout","外卖","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
"FUNCTION","功能",,,,,
,,,,,,
"Buy_For_Credits","以(price)积分购入","xxxx",,,,
"Sell_For_Credits","以(price)积分售出","xxxx",,,,
"Redeem_For_Tickets","以(price)牡丹券兑换","xxxx",,,,
,,,,,,
"FURNITURE","家具",,,,,
,,,,,,
"FurnitureType_Appliance","电器","xxxx",,,,
"FurnitureType_Bed","床","xxxx",,,,
"FurnitureType_Cabinet","储藏柜","xxxx",,,,
"FurnitureType_Counter","柜台","xxxx",,,,
"FurnitureType_DiningChair","餐椅","xxxx",,,,
"FurnitureType_DiningTable","餐桌","xxxx",,,,
"FurnitureType_Carpet","地毯","xxxx",,,,
"FurnitureType_Heater","热水器","xxxx",,,,
"FurnitureType_LoungeChair","休闲椅","xxxx",,,,
"FurnitureType_LoungeTable","休闲桌","xxxx",,,,
"FurnitureType_Computer","电脑","xxxx",,,,
"FurnitureType_Plant","植物","xxxx",,,,
"FurnitureType_WaterFeature","水体景观","xxxx",,,,
"FurnitureType_Refridgerator","制冷剂","xxxx",,,,
"FurnitureType_Shower","洗手台","xxxx",,,,
"FurnitureType_Sink","水槽","xxxx",,,,
"FurnitureType_Storage","仓库","xxxx",,,,
"FurnitureType_WallDecoration","墙面装饰","xxxx",,,,
"FurnitureType_Art","艺术品","xxxx",,,,
"FurnitureType_Brewing","酿造设施","xxxx",,,,
"FurnitureType_FloorTile","地板","xxxx",,,,
,,,,,,
,,,,,,
"FurnitureCategory_House","房屋","xxxx",,,,
"FurnitureCategory_Restaurant","餐厅","xxxx",,,,
"FurnitureCategory_Table","餐椅","xxxx",,,,
"FurnitureCategory_Chair","餐桌","xxxx",,,,
"FurnitureCategory_Floor","地板","xxxx",,,,
"FurnitureCategory_Walls","墙面装饰","xxxx",,,,
"FurnitureCategory_Misc","其他","xxxx",,,,
"FurnitureCategory_Plants","植被","xxxx",,,,
,,,,,,
,,,,,,
"FurnitureStyle_Rustic","乡村","xxxx",,,,
"FurnitureStyle_Classical","古典","xxxx",,,,
"FurnitureStyle_Modern","现代","xxxx",,,,
"FurnitureStyle_SciFi","科幻","xxxx",,,,
"FurnitureStyle_Opulent","奢华","xxxx",,,,
"FurnitureStyle_Fantasy","奇幻","xxxx",,,,
"FurnitureStyle_Industrial","工业","xxxx",,,,
"FurnitureStyle_ArtDeco","艺术","xxxx",,,,
"FurnitureStyle_Retro","复古","xxxx",,,,
"FurnitureStyle_Festive","节日","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"FOOD RELATED","食品相关",,,,,
,,,,,,
"RecipeType_Appetizer","开胃菜","xxxx",,,,
"RecipeType_MainCourse","主菜","xxxx",,,,
"RecipeType_Dessert","甜点","xxxx",,,,
"RecipeType_Beverage","饮料","xxxx",,,,
,,,,,,
"ApplianceType_Counter","厨师柜台","xxxx",,,,
"ApplianceType_Stove","炉灶","xxxx",,,,
"ApplianceType_Oven","烤箱","xxxx",,,,
"ApplianceType_Steamer","蒸笼","xxxx",,,,
"ApplianceType_Frier","炸锅","xxxx",,,,
"ApplianceType_Blender","搅拌机","xxxx",,,,
"ApplianceType_IceCreamMachine","冰淇淋机","xxxx",,,,
"ApplianceType_BaristaMachine","咖啡机","xxxx",,,,
"ApplianceType_Grill","烤架","xxxx",,,,
,,,,,,
,,,,,,
"Random_Recipe_Appetizer","随机的开胃菜食谱","xxxx",,,,
"Random_Recipe_MainCourse","随机的主菜食谱","xxxx",,,,
"Random_Recipe_Dessert","随机的甜点食谱","xxxx",,,,
"Random_Recipe_Beverage","随机的饮料配方","xxxx",,,,
"Paper_Recipe_Unlock","单击右键解锁配方。","xxxx",,,,
,,,,,,
,,,,,,
"Takeout_Generic_Description","一款预制菜","xxxx",,,,
,,,,,,
,,,,,,
"FoodCategory_None","没有烹饪风格","xxxx",,,,
"FoodCategory_Flexible","混合风格","xxxx",,,,
"FoodCategory_BBQ","烧烤","xxxx",,,,
"FoodCategory_Baked","烘焙","xxxx",,,,
"FoodCategory_Seafood","海鲜","xxxx",,,,
"FoodCategory_Mixology","调酒","xxxx",,,,
"FoodCategory_Molecular","分子料理","xxxx",,,,
"FoodCategory_Vegetarian","素食","xxxx",,,,
,,,,,,
"MeatVegan_Flexible","杂食主义","xxxx",,,,
"MeatVegan_Meat","肉食主义","xxxx",,,,
"MeatVegan_Vegetarian","一般素食主义","xxxx",,,,
"MeatVegan_Vegan","绝对素食主义","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"WILD PLANTS","野生植物",,,,,
,,,,,,
"AppleTree_Name","苹果树","xxxx",,,,
"AppleTree_Description","很少看到野生苹果树长得这么大。苹果看起来脆甜爽口。","xxxx",,,,
,,,,,,
"AsparagusPlant_Name","芦笋","xxxx",,,,
"AsparagusPlant_Description","这些绿芽是一种营养丰富的植物，既能提供烹饪乐趣，又能带来生态效益。","xxxx",,,,
,,,,,,
"BeehiveTree_Name","挂着蜂巢的树","xxxx",,,,
"BeehiveTree_Description","也许我可以从很远的地方把它射下来……","xxxx",,,,
,,,,,,
"CaveMushroom_Name","洞穴菇","xxxx",,,,
"CaveMushroom_Description","潮湿黑暗的环境似乎是这些奇怪蘑菇的完美栖息地。","xxxx",,,,
,,,,,,
"ChiliBush_Name","辣椒丛","xxxx",,,,
"ChiliBush_Description","这些辛辣灌木需要充足的阳光才能生长。","xxxx",,,,
,,,,,,
"CranberryBush_Name","蔓越莓丛","xxxx",,,,
"CranberryBush_Description","蔓越莓看起来像红色的小弹珠。我打赌它们一定很好吃！","xxxx",,,,
,,,,,,
"ElderberryBush_Name","接骨木莓植株","xxxx",,,,
"ElderberryBush_Description","接骨木浆果为何被称为“老 浆果”呢？是因为浆果已经变老了吗？","xxxx",,,,
,,,,,,
"MintLeaf_Name","薄荷叶","xxxx",,,,
"MintLeaf_Description","这些叶子散发出的清新气味让你想起美好的春风。","xxxx",,,,
,,,,,,
"RaspberryBush_Name","树莓植株","xxxx",,,,
"RaspberryBush_Description","这些充满活力的树莓看起来成熟可口。烹饪的可能性是无限的。","xxxx",,,,
,,,,,,
"SorghumPlant_Name","高粱植株","xxxx",,,,
"SorghumPlant_Description","一种生长在温暖气候中的高大谷物。你可以用它做面粉和酿酒。","xxxx",,,,
,,,,,,
"StrawberryBush_Name","草莓","xxxx",,,,
"StrawberryBush_Description","优雅的灌木上点缀着饱满的草莓","xxxx",,,,
,,,,,,
"SugarCane_Name","甘蔗","xxxx",,,,
"SugarCane_Description","我想知道你该怎么吃这个？","xxxx",,,,
,,,,,,
"TeaLeaves_Name","茶叶","xxxx",,,,
"TeaLeaves_Description","你可以使用几乎任何东西来泡茶，但这种叶子才是泡出好茶的基础。","xxxx",,,,
,,,,,,
"WildWatercress_Name","野生西洋菜","xxxx",,,,
"WildWatercress_Description","这种多叶植物通常生长在浅而缓慢流动的淡水中。沼泽是它们最理想的栖息地。","xxxx",,,,
,,,,,,
"WildCarrot_Name","野胡萝卜","xxxx",,,,
"WildCarrot_Description","它们比栽培的胡萝卜要小，但却具有一些独特的、泥土的味道。","xxxx",,,,
,,,,,,
"WildLettuce_Name","野生生菜","xxxx",,,,
"WildLettuce_Description","在沙拉和汤中总能看到他们的身影","xxxx",,,,
,,,,,,
"WildMushroom_Name","野生蘑菇","xxxx",,,,
"WildMushroom_Description","这种蘑菇的香味甜美而又充满泥土气息。想想所有的可能性！","xxxx",,,,
,,,,,,
"WildRice_Name","野生水稻","xxxx",,,,
