"key","en","fr","ge","sp","ch","jp"
,,,,,,
"UNIVERSAL KEYS",,,,,,
,,,,,,
"Rarity_Common","Common","xxxx",,,,
"Rarity_Rare","Rare","xxxx",,,,
"Rarity_Epic","Epic","xxxx",,,,
"Rarity_Legendary","Legendary","xxxx",,,,
,,,,,,
"ItemType_Recipe","Recipe","xxxx",,,,
"ItemType_Ingredient","Ingredient","xxxx",,,,
"ItemType_Consumable","Consumable","xxxx",,,,
"ItemType_ConsumableIngredient","Consumable Ingredient","xxxx",,,,
"ItemType_Equipment","Equipment","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
"ITEM TYPES",,,,,,
,,,,,,
"Item_Ingredient","Ingredient","xxxx",,,,
"Item_Equipment","Equipment","xxxx",,,,
"Item_Consumable","Consumable","xxxx",,,,
"Item_Material","Raw Material","xxxx",,,,
"Item_Tool","Tool","xxxx",,,,
"Item_Gift","Gift","xxxx",,,,
"Item_Quest","Quest Item","xxxx",,,,
"Item_BrewingProduct","Brewing Product","xxxx",,,,
"Item_Seed","Seed","xxxx",,,,
"Item_PaperRecipe","Recipe","xxxx",,,,
"Item_Dish","Dish","xxxx",,,,
"Item_Takeout","Takeout","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
"FUNCTION",,,,,,
,,,,,,
"Buy_For_Credits","Buy for (price) Credits.","xxxx",,,,
"Sell_For_Credits","Sell for (price) Credits.","xxxx",,,,
"Redeem_For_Tickets","Redeem for (price) Peony Tickets.","xxxx",,,,
,,,,,,
"FURNITURE",,,,,,
,,,,,,
"FurnitureType_Appliance","Appliance","xxxx",,,,
"FurnitureType_Bed","Bed","xxxx",,,,
"FurnitureType_Cabinet","Cabinet","xxxx",,,,
"FurnitureType_Counter","Counter","xxxx",,,,
"FurnitureType_DiningChair","Dining Chair","xxxx",,,,
"FurnitureType_DiningTable","Dining Table","xxxx",,,,
"FurnitureType_Carpet","Carpet","xxxx",,,,
"FurnitureType_Heater","Heater","xxxx",,,,
"FurnitureType_LoungeChair","Lounge Chair","xxxx",,,,
"FurnitureType_LoungeTable","Lounge Table","xxxx",,,,
"FurnitureType_Computer","Computer","xxxx",,,,
"FurnitureType_Plant","Plant","xxxx",,,,
"FurnitureType_WaterFeature","Water Feature","xxxx",,,,
"FurnitureType_Refridgerator","Refrigerator","xxxx",,,,
"FurnitureType_Shower","Shower","xxxx",,,,
"FurnitureType_Sink","Sink","xxxx",,,,
"FurnitureType_Storage","Storage","xxxx",,,,
"FurnitureType_WallDecoration","Wall Decoration","xxxx",,,,
"FurnitureType_Art","Art","xxxx",,,,
"FurnitureType_Brewing","Brewing","xxxx",,,,
"FurnitureType_FloorTile","Floor Tile","xxxx",,,,
,,,,,,
,,,,,,
"FurnitureCategory_House","House","xxxx",,,,
"FurnitureCategory_Restaurant","Restaurant","xxxx",,,,
"FurnitureCategory_Table","Dining Table","xxxx",,,,
"FurnitureCategory_Chair","Dining Chair","xxxx",,,,
"FurnitureCategory_Floor","Flooring","xxxx",,,,
"FurnitureCategory_Walls","Wall Decor","xxxx",,,,
"FurnitureCategory_Misc","Misc","xxxx",,,,
"FurnitureCategory_Plants","Vegetation","xxxx",,,,
,,,,,,
,,,,,,
"FurnitureStyle_Rustic","Rustic","xxxx",,,,
"FurnitureStyle_Classical","Classical","xxxx",,,,
"FurnitureStyle_Modern","Modern","xxxx",,,,
"FurnitureStyle_SciFi","Sci-Fi","xxxx",,,,
"FurnitureStyle_Opulent","Opulent","xxxx",,,,
"FurnitureStyle_Fantasy","Fantasy","xxxx",,,,
"FurnitureStyle_Industrial","Industrial","xxxx",,,,
"FurnitureStyle_ArtDeco","Art Deco","xxxx",,,,
"FurnitureStyle_Retro","Retro","xxxx",,,,
"FurnitureStyle_Festive","Festive","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"FOOD RELATED",,,,,,
,,,,,,
"RecipeType_Appetizer","Appetizer","xxxx",,,,
"RecipeType_MainCourse","Main Course","xxxx",,,,
"RecipeType_Dessert","Dessert","xxxx",,,,
"RecipeType_Beverage","Beverage","xxxx",,,,
,,,,,,
"ApplianceType_Counter","Chef Counter","xxxx",,,,
"ApplianceType_Stove","Stove","xxxx",,,,
"ApplianceType_Oven","Oven","xxxx",,,,
"ApplianceType_Steamer","Steamer","xxxx",,,,
"ApplianceType_Frier","Frier","xxxx",,,,
"ApplianceType_Blender","Blender","xxxx",,,,
"ApplianceType_IceCreamMachine","Ice Cream Machine","xxxx",,,,
"ApplianceType_BaristaMachine","Barista Machine","xxxx",,,,
"ApplianceType_Grill","Grill","xxxx",,,,
,,,,,,
,,,,,,
"Random_Recipe_Appetizer","Random Appetizer Recipe","xxxx",,,,
"Random_Recipe_MainCourse","Random Main Course Recipe","xxxx",,,,
"Random_Recipe_Dessert","Random Dessert Recipe","xxxx",,,,
"Random_Recipe_Beverage","Random Beverage Recipe","xxxx",,,,
"Paper_Recipe_Unlock","Right click to unlock recipe.","xxxx",,,,
,,,,,,
,,,,,,
"Takeout_Generic_Description","A pre-packaged dish to go.","xxxx",,,,
,,,,,,
,,,,,,
"FoodCategory_None","None","xxxx",,,,
"FoodCategory_Flexible","Flexible","xxxx",,,,
"FoodCategory_BBQ","BBQ","xxxx",,,,
"FoodCategory_Baked","Baked","xxxx",,,,
"FoodCategory_Seafood","Seafood","xxxx",,,,
"FoodCategory_Mixology","Mixology","xxxx",,,,
"FoodCategory_Molecular","Molecular","xxxx",,,,
"FoodCategory_Vegetarian","Vegi","xxxx",,,,
,,,,,,
"MeatVegan_Flexible","Flexible","xxxx",,,,
"MeatVegan_Meat","Meat","xxxx",,,,
"MeatVegan_Vegetarian","Vegetarian","xxxx",,,,
"MeatVegan_Vegan","Vegan","xxxx",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"WILD PLANTS","WILD PLANTS",,,,,
,,,,,,
"AppleTree_Name","Apple Tree","xxxx",,,,
"AppleTree_Description","It's rare to see a wild apple tree growing this big. The apples look crispy and juicy.","xxxx",,,,
,,,,,,
"AsparagusPlant_Name","Asparagus","xxxx",,,,
"AsparagusPlant_Description","These green shoots are highly nutritious plant that offers both culinary delight and ecological benefits.","xxxx",,,,
,,,,,,
"BeehiveTree_Name","Beehive Tree","xxxx",,,,
"BeehiveTree_Description","Maybe I can knock this down from far away . . .","xxxx",,,,
,,,,,,
"CaveMushroom_Name","Cave Mushroom","xxxx",,,,
"CaveMushroom_Description","The damp and dark environment seem like a perfect habitat for these strange mushrooms.","xxxx",,,,
,,,,,,
"ChiliBush_Name","Chili Bush","xxxx",,,,
