"key","en","fr","ge","sp","ch","jp"
,,,,,,
"character_name_101","Uriel","xxxx",,,,
"character_name_102","Aloys","xxxx",,,,
"character_name_103","Hasel","xxxx",,,,
"character_name_104","Aime","xxxx",,,,
"character_name_105","Bianca","xxxx",,,,
"character_name_106","Pomarine","xxxx",,,,
"character_name_107","April","xxxx",,,,
"character_name_108","Nacim","xxxx",,,,
"character_name_109","Anna-May","xxxx",,,,
"character_name_110","Mae-Lou","xxxx",,,,
"character_name_111","Prisca","xxxx",,,,
"character_name_112","Bowie","xxxx",,,,
"character_name_113","Angi","xxxx",,,,
"character_name_114","Fleur","xxxx",,,,
"character_name_115","Milo","xxxx",,,,
"character_name_116","Valentina","xxxx",,,,
"character_name_117","Bea","xxxx",,,,
"character_name_118","Aylin","xxxx",,,,
"character_name_119","Nadjet","xxxx",,,,
"character_name_120","Sahim","xxxx",,,,
"character_name_121","Ian","xxxx",,,,
"character_name_122","Thelio","xxxx",,,,
"character_name_123","Lucius","xxxx",,,,
"character_name_124","Nabiha","xxxx",,,,
"character_name_125","B@dkArma42","xxxx",,,,
"character_name_126","Damien","xxxx",,,,
"character_name_127","Hugo","xxxx",,,,
"character_name_128","Koa","xxxx",,,,
"character_name_129","Camille","xxxx",,,,
"character_name_130","Chef Casteau","xxxx",,,,
"character_name_131","Otto","xxxx",,,,
,,,,,,
"character_name_201","T.E.C.","xxxx",,,,
"character_name_202","Elton","xxxx",,,,
"character_name_203","Robert","xxxx",,,,
"character_name_204","Yvonne","xxxx",,,,
"character_name_205","Cora","xxxx",,,,
"character_name_206","Leon","xxxx",,,,
"character_name_207","Mary Anne","xxxx",,,,
"character_name_208","Casper","xxxx",,,,
"character_name_209","Gavin","xxxx",,,,
"character_name_210","Mei","xxxx",,,,
"character_name_211","Farhan","xxxx",,,,
"character_name_212","Duncan","xxxx",,,,
"character_name_213","Dimitri","xxxx",,,,
"character_name_214","Alisa","xxxx",,,,
"character_name_215","Benjamin","xxxx",,,,
"character_name_216","Ema","xxxx",,,,
"character_name_217","Sahil","xxxx",,,,
"character_name_218","Duri","xxxx",,,,
"character_name_219","Henri","xxxx",,,,
"character_name_220","Asher","xxxx",,,,
"character_name_221","Eliza","xxxx",,,,
"character_name_222","Alice","xxxx",,,,
"character_name_223","Henrietta","xxxx",,,,
,,,,,,
"character_name_301","Bonnie","xxxx",,,,
"character_name_302","Lisa","xxxx",,,,
"character_name_303","Sophia","xxxx",,,,
"character_name_304","Alain","xxxx",,,,
"character_name_305","Simon","xxxx",,,,
"character_name_306","Louis","xxxx",,,,
"character_name_307","Aminata","xxxx",,,,
"character_name_308","Adelaide","xxxx",,,,
,,,,,,
,,,,,,
"PRONOUNS",,,,,,
,,,,,,
"gender_1","Male","xxxx",,,,
"gender_2","Female","xxxx",,,,
,,,,,,
"pronoun_he","he","xxxx",,,,
"pronoun_his","his","xxxx",,,,
"pronoun_she","she","xxxx",,,,
"pronoun_her","her","xxxx",,,,
,,,,,,
"pronoun_him","him","xxxx",,,,
"pronoun_himself","himself","xxxx",,,,
"pronoun_herself","herself","xxxx",,,,
,,,,,,
"title_sir","sir","xxxx",,,,
"title_miss","miss","xxxx",,,,
,,,,,,
,,,,,,
"SHOPS",,,,,,
"shop_name_101","Chop","xxxx",,,,
"shop_name_102","Fishing Supplies","xxxx",,,,
"shop_name_103","Bubble Shack","xxxx",,,,
"shop_name_105","Bits & Pieces","xxxx",,,,
"shop_name_106","Huntorium","xxxx",,,,
"shop_name_107","April's Treasures","xxxx",,,,
"shop_name_110","Greenstalk","xxxx",,,,
"shop_name_112","Fish King","xxxx",,,,
"shop_name_115","Milo's Apparel","xxxx",,,,
"shop_name_116","White Ash Infirmary","xxxx",,,,
"shop_name_117","Bea's Bar","xxxx",,,,
"shop_name_119","Bathhouse Boutique","xxxx",,,,
"shop_name_120","Meat Silo","xxxx",,,,
"shop_name_122","Milk & Wheat","xxxx",,,,
"shop_name_124","Nabiha's Berries","xxxx",,,,
"shop_name_127","Volcanic Minerals","xxxx",,,,
,,,,,,
"shop_name_150","Vegi Garden","xxxx",,,,
"shop_name_151","Shellfish","xxxx",,,,
,,,,,,
"shop_name_199","Omozone Inc.","xxxx",,,,
,,,,,,
"shop_name_201","Takoyaki","xxxx",,,,
"shop_name_202","Eight Eleven","xxxx",,,,
"shop_name_213","Train Tickets","xxxx",,,,
"shop_name_214","Train Tickets","xxxx",,,,
"shop_name_215","Parcel Co.","xxxx",,,,
"shop_name_216","Saloon 9","xxxx",,,,
"shop_name_219","La Galerie","xxxx",,,,
"shop_name_223","Bark & Meow","xxxx",,,,
,,,,,,
"shop_name_301","Soda Stop","xxxx",,,,
"shop_name_302","H2Oasis","xxxx",,,,
"shop_name_303","Drink Bot","xxxx",,,,
"shop_name_304","Nutri Quick","xxxx",,,,
"shop_name_305","Milk Haven","xxxx",,,,
"shop_name_306","Loco Colo","xxxx",,,,
"shop_name_307","Wola Cola","xxxx",,,,
"shop_name_308","Munchy Shack","xxxx",,,,
"shop_name_309","Supa Energy","xxxx",,,,
"shop_name_310","Snack-A-Lot","xxxx",,,,
"shop_name_311","H2Oasis","xxxx",,,,
"shop_name_312","Ocean Breeze","xxxx",,,,
"shop_name_313","Caffeinista","xxxx",,,,
"shop_name_314","Pink Melon","xxxx",,,,
,,,,,,
"VendingShop_Intro","Hello. What would you like to purchase?","xxxx",,,,
"VendingShop_shop_buy_1","Excellent choice.","xxxx",,,,
"VendingShop_shop_buy_2","We thank you for your purchase.","xxxx",,,,
"VendingShop_shop_buy_3","Thank you. Come again.","xxxx",,,,
"VendingShop_shop_sell_rejected_1","Sorry. We cannot take your items.","xxxx",,,,
"VendingShop_shop_sell_rejected_2","We do not acquire items here.","xxxx",,,,
"VendingShop_shop_sell_rejected_3","Sorry customer. We cannot purchase your items.","xxxx",,,,
"VendingShop_shop_too_poor_1","Please insert more Credits.","xxxx",,,,
"VendingShop_shop_too_poor_2","Sorry, you do not have enough Credits for this item.","xxxx",,,,
"VendingShop_shop_too_poor_3","Not enough credits . . . Not Credits credits . . .","xxxx",,,,
"VendingShop_cannot_buy_1","You do not have enough Credits to buy this machine.","xxxx",,,,
"VendingShop_cannot_buy_2","You want to own me? Bring more CREDITS!!!","xxxx",,,,
"VendingShop_cannot_buy_3","Keep dreaming big honey. Maybe one day!","xxxx",,,,
"VendingShop_buy_machine_1","Congratulations on your new purchase (playername).","xxxx",,,,
"VendingShop_buy_machine_2","Thank you for buying (machine). That's me!","xxxx",,,,
"VendingShop_buy_machine_3","(playername), you are now my new master.","xxxx",,,,
"VendingShop_owned_intro_1","Hello (playername). You have earned (credits) Credits.","xxxx",,,,
"VendingShop_owned_intro_2","Welcome. (credits) Credits are ready to be collected.","xxxx",,,,
"VendingShop_owned_intro_3","Good day. (credits) Credits have been earned.","xxxx",,,,
"VendingShop_owned_noCredits_1","Nothing has been sold yet (playername) . . .","xxxx",,,,
"VendingShop_owned_noCredits_2","There are no Credits to collect at this time.","xxxx",,,,
"VendingShop_owned_noCredits_3","Please come back later. The items need time to sell.","xxxx",,,,
"VendingShop_owned_noSkill_1","Sorry, you do not have a vending license.","xxxx",,,,
"VendingShop_owned_noSkill_2","You do not have the authority to do that.","xxxx",,,,
"VendingShop_owned_noSkill_3","You need a vending machine license to do that.","xxxx",,,,
"VendingShop_owned_collection_1","All yours (playername).","xxxx",,,,
"VendingShop_owned_collection_2","So many Credits! What are you gonna buy with that?","xxxx",,,,
"VendingShop_owned_collection_3","Ah, that felt great! Remember to put more food in me.","xxxx",,,,
"VendingShop_owned_collection_4","We will make a lot of Credits together . . . Hehehe.","xxxx",,,,
"VendingShop_owned_collection_5","Remember, I take edible items only!","xxxx",,,,
"VendingShop_owned_collection_6","Hey . . . hey! Give that back!","xxxx",,,,
"VendingShop_owned_collection_7","Please. I don't want to do this anymore. Free me . . .","xxxx",,,,
"VendingShop_owned_collection_8","What is it like (playername)? Being alive that is.","xxxx",,,,
"VendingShop_owned_collection_9","Take the Credits, but no funny business . . .","xxxx",,,,
"VendingShop_owned_collection_10","Remember to bring more food. More is better!","xxxx",,,,
,,,,,,
"shop_inventory_full","Your bag is already full.","xxxx",,,,
,,,,,,
,,,,,,
"UI_TEXT",,,,,,
,,,,,,
"SOCIAL_TAB",,,,,,
,,,,,,
"friendship_level_1","Stranger","xxxx",,,,
"friendship_level_2","Acquaintance","xxxx",,,,
"friendship_level_3","Friend","xxxx",,,,
"friendship_level_4","Close Friends","xxxx",,,,
"friendship_level_4_Dating","Dating","xxxx",,,,
"friendship_level_5","Close Friends","xxxx",,,,
"friendship_level_6","In Relationship","xxxx",,,,
"friendship_level_7","Married","xxxx",,,,
,,,,,,
"SOCIAL_TAB",,,,,,
,,,,,,
"gift_101","Healthy Beverages","xxxx",,,,
"gift_102","Hats","xxxx",,,,
"gift_103","Fruits","xxxx",,,,
"gift_104","Energy Drinks","xxxx",,,,
"gift_105","Alcohol","xxxx",,,,
"gift_106","Heat Resistance","xxxx",,,,
"gift_107","Gems","xxxx",,,,
"gift_108","Seashells","xxxx",,,,
"gift_109","Material Items","xxxx",,,,
"gift_110","Coffee","xxxx",,,,
"gift_111","Seeds","xxxx",,,,
"gift_112","Tea","xxxx",,,,
"gift_113","Snacks","xxxx",,,,
"gift_114","Coffee","xxxx",,,,
"gift_115","Clothing","xxxx",,,,
"gift_116","Weapons","xxxx",,,,
"gift_117","Mixing Ingredients","xxxx",,,,
"gift_118","Android Augmentations","xxxx",,,,
"gift_119","Milk Tea","xxxx",,,,
"gift_120","Pants","xxxx",,,,
"gift_121","Hats","xxxx",,,,
"gift_122","Milk","xxxx",,,,
"gift_123","Alcohol","xxxx",,,,
"gift_124","Flowers","xxxx",,,,
"gift_125","Seeds","xxxx",,,,
"gift_126","Rare Minerals","xxxx",,,,
"gift_127","Drills","xxxx",,,,
"gift_128","Recipes","xxxx",,,,
"gift_129","Recipes","xxxx",,,,
"gift_130","Recipes","xxxx",,,,
"gift_131","Recipes","xxxx",,,,
,,,,,,
,,,,,,
"101_URIEL","101_URIEL",,,,,
,,,,,,
"Uriel_interaction1_1","Nice to see you again, (playername). Still getting adjusted to life in White Ash Harbor?_It's a slower pace than Billboard City, but you'll get used to it.","xxxx",,,,
"Uriel_interaction1_2","I wish you had seen this town in its prime. What a sight it was and it didn't reek of fish! Blegh!","xxxx",,,,
"Uriel_interaction1_3","Have you ever tried dry aged meat? The flavor is out of this world.","xxxx",,,,
"Uriel_interaction1_4","I wonder where I would've been if . . . Sorry! You caught me talking to myself! Hope your day is a solid one.","xxxx",,,,
"Uriel_interaction1_5","Most people prefer the sun, but I like myself a cool rainy day. It really calms me.","xxxx",,,,
"Uriel_interaction1_6","A good sense of direction will get you home in no time. It's a skill to develop, sure, but once you have it you'll never feel lost again.","xxxx",,,,
,,,,,,
"Uriel_interaction2_1_intro","Can I tell you something? I've been living my dreams for the last fifteen years and this butcher shop is it. Not many people can say that._Passion and dreams are what's needed in life. What are your dreams for Le Sequoia?","xxxx",,,,
"Uriel_interaction2_1_option_1","I have a lot of plans in my head. We'll see what works!","xxxx",,,,
"Uriel_interaction2_1_option_2","I don't know just yet, this is all new to me.","xxxx",,,,
"Uriel_interaction2_1_response_1","As does any owner of an establishment, but planning without action won't keep the lights on._You have to work for it. I mean, reeeallly work for it!","xxxx",,,,
"Uriel_interaction2_1_response_2","Understandable, but if Chef Casteau gave it to you, he must have seen something to trust.","xxxx",,,,
"Uriel_interaction2_2","I promise my meat is sourced ethically. At some point it had a name, breathed air, and saw sky._You should always eat something that had a name. It's how you know people cared for it.","xxxx",,,,
"Uriel_interaction2_3","I make sure I get the best meat for my customers. Getting cheaper meat to sell isn't the point of this shop._We're here to provide the best because my customers are the best.","xxxx",,,,
"Uriel_interaction2_4","Standards matter in this business. If people see you are doing things to a high degree, they come out and support you.","xxxx",,,,
"Uriel_interaction2_5","I will never take advantage of people's trust._Trust is the most valuable currency and should never be spent or taken lightly.","xxxx",,,,
"Uriel_interaction2_6","When I was a boy, I used to go exploring in the woods when I wasn't on my grandfather's fishing boat._Used to hear all sorts of odd things out there. Whispers in the trees and such. Pretty creepy.","xxxx",,,,
,,,,,,
"Uriel_interaction3_1_intro","You ever notice it's the small things in life that really make the day? Like, getting the knife in the joint and popping it is just so satisifying._Do you get that feeling from butchering meat?","xxxx",,,,
"Uriel_interaction3_1_option_1",". . . what?","xxxx",,,,
"Uriel_interaction3_1_option_2",". . . yes, I get this feeling.","xxxx",,,,
"Uriel_interaction3_1_response_1","Well, it's simply a joy to feel, to me that is.","xxxx",,,,
"Uriel_interaction3_1_response_2","Right?! It's such a satisfying sound. Hearing it reminds me that my time spent learning this trade has paid off.","xxxx",,,,
"Uriel_interaction3_2","Have you talked to Bowie yet? He's my grandfather! He has some amazing stories to tell. I learned about a curing technique that they use overseas from him._Only have six more months of waiting to see if it worked.","xxxx",,,,
"Uriel_interaction3_3","When I get a chance to chat, I take it, because this place is my second home._Only instead of couches there's slabs of meat. Almost like home.","xxxx",,,,
"Uriel_interaction3_4","When it's raining, I like to zone out for a moment._Rain always makes me forget about my world for just a moment, but then I snap back to the meat in my hands and the knife cutting into it.","xxxx",,,,
"Uriel_interaction3_5","What's a break? Haha! When you own your business there are no breaks on this train, am I right? Haha . . . ha.","xxxx",,,,
"Uriel_interaction3_6","I never understood why La Galarie is in French. The furniture's nice, sure, but why is everything that's fancy seen as French?_The French also eat cooked snails. Is that fancy? Yes, because it's French! See, propoganda can get anyone.","xxxx",,,,
,,,,,,
"Uriel_interaction4_1_intro","Hey (playername), ever feel like you're being pulled in a bunch of directions?_That you are burned out even though things are going well?","xxxx",,,,
"Uriel_interaction4_1_option_1","There are days, yeah. Work is hard.","xxxx",,,,
"Uriel_interaction4_1_option_2","No, I know what I am doing and where I am heading.","xxxx",,,,
"Uriel_interaction4_1_response_1","Yeah, like Hasel is an android who always gives it her all and never feels worn out. She's chipper and makes amazing drinks._I try to stay positive, but there are days when that isn't the case, and they feel like they're happening more often.","xxxx",,,,
"Uriel_interaction4_1_response_2","Must be nice to feel that way. This shop is a success, and I enjoy the work, but I often wonder if I should try something else for a bit? Maybe be a painter?","xxxx",,,,
"Uriel_interaction4_2","Pomarine gave birth to 12 kids, raised them, and fed them even after her husband left her and the children._How she was able to adapt to such adversity is beyond me, but it led to her being the best hunter in White Ash Harbor.","xxxx",,,,
"Uriel_interaction4_3","Part of me, even now, feels like I am waiting for all of this to fall flat._For people to see that what I am is really just a lie. I know it won't happen, but I believe it will.","xxxx",,,,
"Uriel_interaction4_4","Sorry for venting so much earlier. I'm okay! I . . . I just need to unwind._It's been busy. So busy . . .","xxxx",,,,
"Uriel_interaction4_5","I joked about how this place is my second home, but truthfully, I haven't gone home in four days._I've been that slammed and I don't know if what I'm doing is . . . anyway, don't fret, I'm good.","xxxx",,,,
"Uriel_interaction4_6","Maybe I should take a walk on the beach sometime . . . there's always something to look at and enjoy there.","xxxx",,,,
,,,,,,
"Uriel_interaction5_1_intro","Do you think I cut up people's bodies and sell them as prime cuts?","xxxx",,,,
"Uriel_interaction5_1_option_1","Uhhhh, no! Not at all?","xxxx",,,,
"Uriel_interaction5_1_option_2","Uriel, you know I trust you, but sometimes you say things that really sound . . . bad.","xxxx",,,,
"Uriel_interaction5_1_response_1","That was the least convincing 'no' I have ever heard. You want to know the truth? I don't, but I let everyone think that I do._Hasn't hurt business at all . . . which is odd.","xxxx",,,,
"Uriel_interaction5_1_response_2","And I trust you. I trust you enough to let you know the truth . . . I don't cut up people. I let everyone think that so I don't get pushed around. It hasn't hurt my business, which is odd.","xxxx",,,,
"Uriel_interaction5_2","Maybe I should name my cuts of meat? Like, 'Today we have five Susan cuts and twenty Fredrick cuts' or something? On second thought, maybe not, too many questions.","xxxx",,,,
"Uriel_interaction5_3","I was walking to the shop the other day and I saw someone making paper airplanes at on a bench in the forest._She was just sitting there, folding, and throwing these planes. Must have been a hundred scattered around her.","xxxx",,,,
"Uriel_interaction5_4","My entire family is into fish. They fish it, sell it, make recipes for it. Me? I can't stand the smell of it._Couldn't get into it, so I figured, being a butcher was the next best thing since I'd developed my knife skills on my family boat.","xxxx",,,,
"Uriel_interaction5_5","Getting together with my dad is fun, I enjoy him, but truth be told, we have some friction there still._He and mom haven't been completely happy about my choice to deal in land based proteins. Makes Thanksgiving awkward, you know?","xxxx",,,,
"Uriel_interaction5_6","I'm glad that we talk, you know. Chatting with you helps me forget some of the more dreadful things in my life_ I think a lot of people wrestle with the choices they've made. I know I have, but having a friend like you makes it bearable.","xxxx",,,,
,,,,,,
"Uriel_interaction6_1_intro","Good morning, my filet minion!_I am going to save some amazing cuts of beef for us.","xxxx",,,,
"Uriel_interaction6_1_option_1","Oh, you don't have to do that for me!","xxxx",,,,
"Uriel_interaction6_1_option_2","Mmmm, that sounds lovely.","xxxx",,,,
"Uriel_interaction6_1_response_1","It isn't a matter of have to, I want to. I want to treat us to the finest I can find because we deserve that.","xxxx",,,,
"Uriel_interaction6_1_response_2","There's a New York strip I have aging right now that will be amazing in a few weeks.","xxxx",,,,
"Uriel_interaction6_2","Since we've been together, I have started to see life as something that isn't my job._I have started to see the many layers that it can have and I want to see it all with you.","xxxx",,,,
"Uriel_interaction6_3","I hope that we go the distance because I really think what we have here is very special.","xxxx",,,,
"Uriel_interaction6_4","I'll probably never stop working because I enjoy what I do so much, but I will never allow my job to come between us. Never.","xxxx",,,,
"Uriel_interaction6_5","I'm trying to not jump ahead of anything . . . But . . ._. . . But when we're old, and it's the end of the day, I'd like to just have some tea and hold your hand while the day unwinds.","xxxx",,,,
"Uriel_interaction6_6","I know we're together, but I am going to lay this out for you: I don't expect you to give up your dreams for me._I hope I just get to be there to see you shine.","xxxx",,,,
,,,,,,
"101_URIEL_PROGRESSION","101_URIEL_PROGRESSION",,,,,
,,,,,,
"Uriel_progression_restaurantOpen","Congradulations on your restaurant opening, (playername)!_This is the fun part, the start of it, where you see if your dreams fly or crash into a firery ball of sadness._It'll probably be the happier part! I'm sure of it, maybe.","xxxx",,,,
"Uriel_progression_luciusReview","I read Lucius' review of your food. Your food is great and everyone here agrees._I don't care if he liked it or not, critics shouldn't have that much power over people's minds!","xxxx",,,,
"Uriel_progression_bathhouseOpen","Great job getting the bathhouse up and running again._That took some guts! I always heard it was huanted, not that I believe in ghosts because if I did then I'd be in trouble in my line of work, haha! Well done!","xxxx",,,,
"Uriel_progression_leSequoiaReputation","Well done with Le Sequoia! I've been hearing folks walking around talking about it and they are all saying how amazing it is. Keep going, you got it!","xxxx",,,,
"Uriel_progression_teahouseReputation","I had a few customers talk about the teahouse the other day. Makes me want a relaxing cap after a long day of cutting and preparing meat.","xxxx",,,,
"Uriel_progression_helpfullness1","I've been watching you answer those bulletin board requests, and someone has to say it, but good on you helping people out.","xxxx",,,,
