"key","en","fr","ge","sp","ch","jp"
,,,,,,
,,,,,,
"LOCATIONS","LOCATIONS",,,,,
,,,,,,
"Date_Location_Title","Date Location?","xxxx",,,,
"Date_Location_TownSquare","Town Square","xxxx",,,,
"Date_Location_EastBeach","East Beach","xxxx",,,,
"Date_Location_DeepWoods","Deep Woods","xxxx",,,,
"Date_Location_LonelyCliffs","Lonely Cliffs","xxxx",,,,
"Date_Location_Bathhouse","Bathhouse","xxxx",,,,
"Date_Location_SouthBeach","South Beach","xxxx",,,,
,,,,,,
"DATE OPTIONS","DATE OPTIONS",,,,,
,,,,,,
"Relationship_Prompt","Pursue relationship with (npc)?","xxxx",,,,
"Date_Choose_Relationship","Choose Relationship","xxxx",,,,
"Date_Choose_Friendship","Choose Friendship","xxxx",,,,
,,,,,,
"DATE OPTIONS","DATE OPTIONS",,,,,
,,,,,,
"Date_ChooseLocation","Go On Date","xxxx",,,,
"Date_ChangeLocation","Change Location","xxxx",,,,
,,,,,,
,,,,,,
"MOVE IN GENERIC","MOVE IN GENERIC",,,,,
,,,,,,
"moveIn_generic_1","Where is all of this laundry coming from?!","xxxx",,,,
"moveIn_generic_2","I need to load the dishes in the washer.","xxxx",,,,
"moveIn_generic_3","What a lovely day to be home.","xxxx",,,,
"moveIn_generic_4","Hey, where is the remote? Nevermind, found it.","xxxx",,,,
"moveIn_generic_5","I really have to organize the junk drawer.","xxxx",,,,
"moveIn_generic_6","That's enough TV for today.","xxxx",,,,
"moveIn_generic_7","What a cozy day.","xxxx",,,,
"moveIn_generic_8","I. Am. So. Tired.","xxxx",,,,
"moveIn_generic_9","Let's wake up early sometime and watch the sun rise.","xxxx",,,,
"moveIn_generic_10","Have you seen my keys? Nevermind, I found them!","xxxx",,,,
"moveIn_generic_11","I think I'm going to take up a craft. Let me find inspo on Tackrest.","xxxx",,,,
"moveIn_generic_12","I am going to do less screen time on my phone.","xxxx",,,,
"moveIn_generic_13","Where are the towels?!","xxxx",,,,
"moveIn_generic_14","I love our life here.","xxxx",,,,
"moveIn_generic_15","Let's see what's on the TV shall we?","xxxx",,,,
"moveIn_generic_16","What a lovely day this has been.","xxxx",,,,
"moveIn_generic_17","Maybe we should get some new art?","xxxx",,,,
"moveIn_generic_18","Our place is very cute.","xxxx",,,,
"moveIn_generic_19","Let's make this space ours.","xxxx",,,,
"moveIn_generic_20","I never would've believed that I could be so happy.","xxxx",,,,
,,,,,,
"MOVE IN GENERIC","MOVE IN GENERIC",,,,,
,,,,,,
"moveIn_morning_1","Good morning my love.","xxxx",,,,
"moveIn_morning_2","I wonder what today has in store for us?","xxxx",,,,
"moveIn_morning_3","What should we do for breakfast?","xxxx",,,,
"moveIn_morning_4","Can we stay in bed all day?","xxxx",,,,
"moveIn_morning_5","Starting the day off right with a hug from you.","xxxx",,,,
,,,,,,
"moveIn_afternoon_1","Whew, I could go for some lunch.","xxxx",,,,
"moveIn_afternoon_2","The day's half-way over.","xxxx",,,,
"moveIn_afternoon_3","I could go for a nap.","xxxx",,,,
"moveIn_afternoon_4","I should get to those weeds before it's too dark.","xxxx",,,,
"moveIn_afternoon_5","The light coming in this afternoon is wonderful.","xxxx",,,,
,,,,,,
