"key","en","fr","ge","sp","ch","jp"
,,,,,,
"UNIVERSAL KEYS",,,,,,
,,,,,,
"Key_Tooltip_Menu_0","Select","xxxx","1",,,
"Key_Tooltip_Menu_1","Tab Left","xxxx","2",,,
"Key_Tooltip_Menu_2","Tab Right","xxxx","2",,,
"Key_Tooltip_Menu_3","Use / Equip","xxxx","3",,,
"Key_Tooltip_Menu_4","Destroy Item","xxxx","2",,,
"Key_Tooltip_Menu_Blueprint","Learn Blueprint","xxxx","2",,,
"Key_Tooltip_Menu_Recipe","Learn Recipe","xxxx","2",,,
,,,"",,,
"Key_Tooltip_RegularShop_0","Buy/Sell Item","xxxx","2",,,
"Key_Tooltip_RegularShop_1","Multiple Buy/Sell","xxxx","2",,,
,,,"",,,
"Key_Tooltip_FurnitureShop_0","Buy/Sell Item","xxxx","2",,,
,,,"",,,
"Key_Tooltip_RestaurantMenu_0","Select Course","xxxx","2",,,
"Key_Tooltip_RestaurantMenu_1","Add/Remove Dish","xxxx","2",,,
,,,"",,,
"Key_Tooltip_OperationMode_0","Select Mode","xxxx","2",,,
,,,"",,,
"Key_Tooltip_HireStaff_0","Hire Staff","xxxx","2",,,
,,,"",,,
"Key_Tooltip_SupplyChain_0","Select Date","xxxx","2",,,
"Key_Tooltip_SupplyChain_1","Add Ingredient","xxxx","2",,,
,,,"",,,
"Key_Tooltip_BuildMode_0","Pickup","xxxx","1",,,
"Key_Tooltip_BuildMode_1","Move to Inventory","xxxx","3",,,
"Key_Tooltip_BuildMode_2","Tab Left","xxxx","2",,,
"Key_Tooltip_BuildMode_3","Tab Right","xxxx","2",,,
"Key_Tooltip_BuildMode_4","Place Furniture","xxxx","2",,,
"Key_Tooltip_BuildMode_5","Move Furniture","xxxx","2",,,
,,,"",,,
"Key_Tooltip_BuildModePickup_0","Place","xxxx","1",,,
"Key_Tooltip_BuildModePickup_1","Rotate Furniture","xxxx","2",,,
"Key_Tooltip_BuildModePickup_2","Place Multiple","xxxx","2",,,
,,,"",,,
"Key_Tooltip_FurnitureCrafting_0","Craft Item","xxxx","2",,,
"Key_Tooltip_FurnitureCrafting_1","Exit Menu","xxxx","2",,,
,,,"",,,
"Key_Tooltip_StaffManagement_0","Unassign Staff","xxxx","2",,,
,,,"",,,
"Key_Tooltip_StaffUnassigned_0","Assign to Restaurant","xxxx","3",,,
"Key_Tooltip_StaffUnassigned_1","Release Staff","xxxx","2",,,
,,,"",,,
"Key_Tooltip_ExternalStorage_0","Transfer Item","xxxx","2",,,
"Key_Tooltip_ExternalStorage_1","Transfer All","xxxx","2",,,
"Key_Tooltip_Split_Stack","Split Stack","xxxx","2",,,
,,,"",,,
"Key_Tooltip_SeedPlanting_0","Plant Seed","xxxx","2",,,
"Key_Tooltip_SeedPlanting_1","End Seed Planting","xxxx","3",,,
"Key_Tooltip_SeedPlanting_2","Cycle Compost","xxxx","2",,,
"Key_Tooltip_SeedPlanting_3","Select Position","xxxx","2",,,
,,,"",,,
"Key_Tooltip_WaterPlants_0","Water Plant","xxxx","2",,,
"Key_Tooltip_WaterPlants_1","Unequip Can","xxxx","2",,,
,,,"",,,
"Key_Tooltip_Digging_0","Dig Up Plant","xxxx","3",,,
"Key_Tooltip_Digging_1","Unequip Spade","xxxx","2",,,
,,,"",,,
"Key_Tooltip_Fishing_0","Pull Hook","xxxx","2",,,
"Key_Tooltip_Fishing_1","Reel Line","xxxx","2",,,
,,,,,,
"Key_Tooltip_Redeem10","Redeem x10","xxxx","2",,,
,,,,,,
,,,,,,
"GENERIC TEXT",,,,,,
,,,,,,
"generic_AbilityPoints","Ability Points","xxxx","2",,,
"generic_Accessories","Accessories","xxxx","1",,,
"generic_Android","Android","xxxx","1",,,
"generic_Artisan","Artisan","xxxx","1",,,
"generic_Augmentations","Augmentations","xxxx","1",,,
"generic_Availability","Availability","xxxx","1",,,
"generic_Awards","Awards","xxxx","1",,,
"generic_Begin","Begin","xxxx","1",,,
"generic_Bill","Bill","xxxx","1",,,
"generic_Birthday","Birthday","xxxx","1",,,
"generic_Blueprints","Blueprints","xxxx","1",,,
"generic_Bonus","Bonus","xxxx","1",,,
"generic_building","Building","xxxx","1",,,
"generic_Buy","Buy","xxxx","1",,,
"generic_cancel","Cancel","xxxx","1",,,
"generic_Cancel","Cancel","xxxx","1",,,
"generic_Celebrity","Celebrity","xxxx","1",,,
"generic_Chef","Chef","xxxx","1",,,
"generic_Chefs","Chefs","xxxx","1",,,
"generic_Choose_Reward","Choose Reward","xxxx","2",,,
"generic_Clear","Clear","xxxx","1",,,
"generic_Clothing","Clothing","xxxx","1",,,
"generic_Collections","Collections","xxxx","1",,,
"generic_Completed","Completed","xxxx","1",,,
"generic_CompletedDishes","Completed Dishes","xxxx","2",,,
"generic_Compost","Compost","xxxx","1",,,
"generic_confirm","Confirm","xxxx","1",,,
"generic_continue","Continue","xxxx","1",,,
"generic_ContributionPoints","Contribution Points","xxxx","2",,,
"generic_Cooking","Cooking","xxxx","1",,,
"generic_Craft","Craft","xxxx","1",,,
"generic_Credits","Credits","xxxx","1",,,
"generic_Critic","Critic","xxxx","1",,,
"generic_Customers","Customers","xxxx","1",,,
"generic_Damage","Damage","xxxx","1",,,
"generic_Day","Day","xxxx","1",,,
"generic_Days","Days","xxxx","1",,,
"generic_Decor","Decor","xxxx","1",,,
"generic_DecorValue","Decor Value","xxxx","2",,,
"generic_DiningSpots","Dining Spots","xxxx","2",,,
"generic_DislikedFood","Disliked Food","xxxx","2",,,
"generic_DislikedTreats","Disliked Treats","xxxx","2",,,
"generic_Endurance","Endurance","xxxx","1",,,
"generic_Event","Event","xxxx","1",,,
"generic_Exit","Exit","xxxx","1",,,
"generic_Facility","Facility","xxxx","1",,,
"generic_Farmed","Farmed","xxxx","1",,,
"generic_FavoriteFood","Favorite Food","xxxx","2",,,
"generic_FavoriteGift","Favorite Gift","xxxx","2",,,
"generic_FavoriteTreats","Favorite Treats","xxxx","2",,,
"generic_Fire","Fire","xxxx","1",,,
"generic_Furniture","Furniture","xxxx","1",,,
"generic_Gathering","Gathering","xxxx","1",,,
"generic_GameStats","Game Stats","xxxx","2",,,
"generic_General","General","xxxx","1",,,
"generic_Happiness","Happiness","xxxx","1",,,
"generic_Health","Health","xxxx","1",,,
"generic_HourlyWage","Hourly Wage","xxxx","2",,,
"generic_Human","Human","xxxx","1",,,
"generic_Hunger","Hunger","xxxx","1",,,
"generic_Ingredient","Ingredient","xxxx","1",,,
"generic_Ingredients","Ingredients","xxxx","1",,,
"generic_Items","Items","xxxx","1",,,
"generic_ItemsTotal","(amount) Items Total","xxxx","3",,,
"generic_level","Level","xxxx","1",,,
